name	webpage	institution	country	address	lat	long	exp_theor	fields	people	atom	comment
Adams Group	http://massey.dur.ac.uk/csa/research.html	Durham	United Kingdom		54.77525	-1.584852	Exp/Theory	Optical lattice experiments. EIT and magnetometry. Quantum Fluids.                Joint Quantum Centre (JQC) Durham-Newcastle		Rb, CsYb, Ca, RbCs, Sr	See also: Adams group, Cornish group, Gardiner group, Hughes group, Hutson group, Parker group, Proukakis group.
Alon Group	http://hctpa.haifa.ac.il/index.php/current-members/10-members/current-members/5-prof-ofir-alon	University of Haifa	Israel		32.7614296	35.0195184	Theory	Our group deals with theoretical and computational atomic, molecular, and optical (AMO) physics with primary interest in the physics of Bose-Einstein condensates.		theory	
Anderson Group	http://dza.colorado.edu/~AOPy/index.html	JILA, Boulder	United States of America		40.0074363	-105.2686481	Exp	I'm interested in nonlinear optics, atom optics and optical precision measurements. In nonlinear optics, I study photorefractive systems for measurement and information processing, especially self-organized information processing. Our group is currently investigating acoustic and RF antenna-array signal processing and sensing of chemical vapors. Atom-optics research centers on the development of atom waveguides, atom "chip" technology, and the use of Bose-Einstein condensates to make practical devices. The group is currently developing integrated atom interferometers for inertial navigation and other sensing applications.		unknown	Webpage doesn't work (19.02.2018).
Antezza Group	https://sites.google.com/site/mauroantezza/	Université de Montpellier	France		43.6156599	3.8720638	Theory	Systems out of equilibrium,, ultra cold quantum gases,, Casimir-Lifshitz interaction,,        radiation-matter interaction,, disordered systems,, heat transfer,, elementary quantum systems,, entanglement,, open quantum systems.	M. Antezza, B. Guizal, R. Messina, D. Cassagne	theory	
Anukool Group	http://www.qaocmu.org/	Thailand Center of Excellence in Physics (ThEP), Chiang Mai University	Thailand		18.8024763	98.9557741	Exp	Rb BEC, single atom trap, atom interferometry		Rb	
Arimondo Group	None	Pisa	Italy		43.7228386	10.4016888	Exp			unknown	
Arlt Group	http://phys.au.dk/forskning/uqgg/	Aarhus Universitet	Denmark		56.1681384	10.2030118	Exp	BEC in optical lattices, molecular quantum gases		Rb, RbK	
Aspect Group	https://www.lcf.institutoptique.fr/Groupes-de-recherche/Optique-atomique	Laboratoire Charles Fabry, Institut d'Optique	France		48.71374	2.2034927	Exp		Alain ASPECT (Professeur chaire Augustin Fresnel de l'IOGS, Directeur de recherche émérite CNRS), Denis BOIRON (Professeur IOGS-U.Psud), Isabelle BOUCHOULE (Chargée de recherche CNRS),        Thomas BOURDEL (Chargé de recherche CNRS),        Philippe BOUYER (Directeur de recherche CNRS),        Marc CHENEAU (Chargé de recherche CNRS),        David CLEMENT (Maitre de conférence IOGS-U.Psud),        Vincent JOSSE (Maitre de conférence IOGS-U.Psud),        Laurent SANCHEZ-PALENCIA (Chercheur CR au CNRS et Prof. CC à l'Ecole Polytechnique),        Christoph WESTBROOK (Directeur de recherche CNRS,, group leader)	He, Rb	See also Aspect group, Bouchoule group, Bourdel group, Cheneau group, Clement group, Westbrook group.
Aubin Group	http://saaubi.people.wm.edu/ResearchGroup/index.html	William & Mary	United States of America		37.271553	-76.713385	Exp			Rb	
Ballagh Group	http://www.physics.otago.ac.nz/research/uca/index.html	Otago	New Zealand		-45.4790671	170.1547567	Theory			theory	Redirects to the whole deprtment of physics. See also other groups at Otago.
Ban/Buljan Group	http://cold.ifs.hr/	University of Zagreb/Institute of Physics	Croatia		45.8105703	15.9698015	Exp/Theory			Rb	
Barreiro Group	http://quantum.ucsd.edu	UC San Diego	United States of America		32.8800604	-117.2340135	Exp			Sr	
Barrett Group	http://www.quantumlah.org/ultracold/index.html	National University of Singapore	Singapore		1.2966426	103.7763939	Exp	Neutral Atoms for Quantum Information Processing                Our research focuses on the use of ultra-cold atoms for neutral atom quantum information applications.  We investigate the use of micro-fabricated magnetic traps (atom chips) and optical lattices as a means to trap and manipulate large arrays of atoms (qubits).  To provide the necessary interaction between individual atoms we will investigate the use of micro-cavities.		Rb	Webpage doesn't work (17.02.2018). New is probalby http://microtraps.quantumlah.org/ . They also have ions.
